id,object_id,cog_x,cog_y,cog_z,weight,mat,assieme,end1,end2,nested,object_type,subasm,locazione,t,length,length2,incr1,incr2,idn,costr,block,type
534249,454209d7-061d-41f7-b958-5a96acf5a82c,11754,4251,2948,1,AH36,D01,BI02,BI02,false,stiffner,G01,SHELL,BENT UNREGULAR,443,-,0,0,880,14146,BL02,FB60x5
534258,f09ad03c-ef5b-4fbb-baef-b0e577790fec,10254,4246,3648,1,AH36,D02,BI02,BI02,false,stiffner,G01,SHELL,BENT UNREGULAR,443,-,0,0,867,14146,BL02,FB60x5
534268,2d2e48bc-b132-41d4-a31b-77c67f4eb350,6047,-3096,2768,2.3,AH36,B17,BI02,BF30,false,stiffner,G01,FR_6,FLAT,463,-,0,0,589,14146,BL02,FB80x8
534278,e31d01dc-2c19-4b03-9300-29d5be721555,6047,3641,2768,2.3,AH36,B17,BI02,BF30,false,stiffner,G01,FR_6,FLAT,463,-,0,0,587,14146,BL02,FB80x8
534288,5f6ade1b-b42e-457b-9f25-38bdd386bd19,6047,-3846,3639,6.7,AH36,B16,BF30+30,BI02,false,stiffner,A01,FR_6,FLAT,1338,-,0,0,574,14146,BL02,FB80x8
534297,725f4d31-1ae1-42ce-ae26-7e9928994592,6803,3513,4388,49.1,AH36,B53,-,-,false,part,G01,BOX,FLAT,0,-,0,0,309,14146,BL02,THK7
534306,c59add1a-fa22-4d3a-8fb2-2921b998a0ee,7004,-4186,3604,8.3,AH36,B21,-,-,false,part,G01,FR_7,FLAT,0,-,0,0,308,14146,BL02,THK7
534315,7e8dcf61-0563-4720-9235-5e18f23488d8,12828,-3493,1453,5.2,AH36,B52,BF10+50,BF10,false,stiffner,G01,FIN_STUCTURES,BENT UNREGULAR,492,-,0,0,845,14146,BL02,FB90x15
534244,e55b8755-4267-45aa-9d88-ddf05de83701,10754,4245,2948,1,AH36,D01,BI02,BI02,false,stiffner,G01,SHELL,BENT UNREGULAR,443,-,0,0,878,14146,BL02,FB60x5
534254,57159ae8-c764-42b9-9530-c13890c203ab,13254,4263,3648,1,AH36,D02,BI02,BI02,false,stiffner,G01,SHELL,BENT UNREGULAR,443,-,0,0,873,14146,BL02,FB60x5
534262,ac2e2aa3-0d9f-4a3c-a7f0-f3ecf687d00f,6254,4213,3718,1,AH36,D02,BI02,BI02,false,stiffner,G01,SHELL,BENT UNREGULAR,443,-,0,0,575,14146,BL02,FB60x5
534272,350db8d0-b509-4e4f-a080-706f536a47cb,6047,-4096,2768,2.3,AH36,B17,BI02,BF30,false,stiffner,G01,FR_6,FLAT,463,-,0,0,585,14146,BL02,FB80x8
534282,0e9c0905-af0f-467b-9e38-c1f7b587942a,6047,4096,2768,2.3,AH36,B17,BI02,BF30,false,stiffner,G01,FR_6,FLAT,463,-,0,0,585,14146,BL02,FB80x8
534291,c9693a0b-842d-4c26-b3e0-a9cb3204b1f0,6047,3096,3525,5.6,AH36,B16,BF30+30,BI02,false,stiffner,A01,FR_6,FLAT,1110,-,0,0,576,14146,BL02,FB80x8
534303,fb3f8450-5ab0-4137-81a8-9ed5cde629c3,8078,-302,4268,0.8,AH36,B27,BF30,BF30,false,stiffner,G01,FR_8+100,FLAT,471,-,0,0,855,14146,BL02,FB45x5
534312,e95ec029-da64-4aae-b4d1-a3a92f33bbcd,12744,-2981,1144,6.5,AH36,B52,-,-,false,part,G01,FIN_STUCTURES,FLAT,0,-,0,0,299,14146,BL02,THK12
534322,300c8476-651e-4a13-a86f-5594b9a651f8,13230,-3240,1247,3.8,AH36,B52,BF10,BF10,false,stiffner,G01,FIN_STUCTURES,"BENT - 149,999999999989",360,-,0,0,848,14146,BL02,FB90x15
534332,883fe5b5-7bdb-4180-a826-fc17de256a8b,12281,3730,1690,3.9,AH36,B52,BF10,BF10,false,stiffner,G01,FIN_STUCTURES,BENT UNREGULAR,371,-,0,0,653,14146,BL02,FB90x15
534252,c1df557d-e663-48d0-8563-36f377eacd78,11254,4248,2948,1,AH36,D01,BI02,BI02,false,stiffner,G01,SHELL,BENT UNREGULAR,443,-,0,0,879,14146,BL02,FB60x5
534263,30620929-8e8b-455b-ab1b-2bfcdd063b18,9254,4239,3648,1,AH36,D02,BI02,BI02,false,stiffner,G01,SHELL,BENT UNREGULAR,443,-,0,0,865,14146,BL02,FB60x5
534275,25e3ab35-76e2-4cb9-9995-bb9d82142dac,6047,2846,2768,2.3,AH36,B17,BI02,BF30,false,stiffner,G01,FR_6,FLAT,463,-,0,0,590,14146,BL02,FB80x8
534286,12de3517-c503-4928-8ab8-5298f156356e,6047,-3096,3716,7.5,AH36,B16,BF30+30,BI02,false,stiffner,A01,FR_6,FLAT,1491,-,0,0,577,14146,BL02,FB80x8
534298,7ab57586-5847-4895-88bf-2a111f48516b,6804,3038,4104,83.8,AH36,B53,-,-,false,part,G01,BOX,FLAT,0,-,0,0,310,14146,BL02,THK7
